feature,gain,split
stockout_orc,950254644.9936523,103
partner_total,145503476.5088501,2061
lag_12,139233103.11212158,691
РРЦ,123577650.98760986,1333
month,83199227.67956543,823
brand_total,78002067.50473022,924
stockout_both,73463466.24684143,54
lag_1_Количество_orc,55357922.21624756,2238
rmean_12,44666810.5206604,782
rstd_3,42785762.550598145,1069
sku_age_months,41891025.24029541,991
lag_2,40938818.22375488,757
rmean_6,37954633.62768555,872
stockout_orc_prev,32466915.045959473,13
demand_density,26628670.66584778,947
lag_1,23268279.830459595,656
month_sin,22121159.627090454,254
year,21404908.151184082,393
rmean_3,20528437.24909973,795
month_cos,12147540.217178345,259
lag_3,11668268.749282837,696
rstd_6,10932039.751190186,839
brand_active,9624545.243377686,940
lag_6,8294828.203720093,677
rcv_6,6384341.654495239,826
sku_share_brand,4701308.797912598,570
lag_1_Количество_ship,4565524.522888184,1199
inv_to_sales_orc,4140071.5212402344,712
price_change_flag,2972894.5505371094,84
inv_to_sales_tt,2738039.5937042236,967
lag_1_Выручка_sales,1291508.5663146973,560
stockout_tt,826335.2319641113,101
promo_discount_pct,174445.4531097412,101
is_wartime,116733.17073059082,51
quarter,43620.41612243652,11
is_summer,41274.28503417969,32
is_new_sku,29619.582305908203,11
is_newyear,18298.581146240234,12
is_sept,3663.5919189453125,3
is_promo,792.2319946289062,1
is_q4,0.0,0
is_march,0.0,0
