model,tag,split,missing,color,n_rows,WAPE,MAE,RMSE,Bias_units,Agg_Bias_pct,SMAPE_nz,Monthly_WAPE,SIMSCORE
V11_LAD,v11_lad,val,False,#cc8866,31368,0.334,1.5804,3.6643,0.0102,0.216,0.4188,0.0359,0.3531
V11_LAD,v11_lad,test,False,#cc8866,18298,0.4006,1.9732,4.812,0.2392,4.856,0.4964,0.0827,0.4662
V11_final,v11_final,val,False,#1f77b4,31368,0.3311,1.5664,3.6831,-0.0687,-1.452,0.4163,0.0384,0.3575
V11_final,v11_final,test,False,#1f77b4,18298,0.395,1.9458,4.8466,0.1379,2.799,0.4926,0.0799,0.4489
V12_LAD,v12_lad,val,False,#bbbbbb,31368,0.3321,1.5713,3.6785,-0.0282,-0.595,0.4168,0.0327,0.3514
V12_LAD,v12_lad,test,False,#bbbbbb,18298,0.3983,1.9619,4.8316,0.2208,4.483,0.4946,0.0801,0.4607
V12_final,v12_final,val,False,#999999,31368,0.3321,1.5713,3.6785,-0.0282,-0.595,0.4168,0.0327,0.3514
V12_final,v12_final,test,False,#999999,18298,0.3983,1.9619,4.8316,0.2208,4.483,0.4946,0.0801,0.4607
V12.1_LAD,v121_lad,val,False,#ffaa55,31368,0.3317,1.5691,3.6801,-0.0278,-0.588,0.416,0.0314,0.3503
V12.1_LAD,v121_lad,test,False,#ffaa55,18298,0.3969,1.9552,4.8429,0.1899,3.856,0.4946,0.0812,0.4568
V12.1_champion,v121_champion,val,False,#7fa8ff,31368,0.3305,1.5637,3.6868,-0.0822,-1.737,0.4159,0.0392,0.3588
V12.1_champion,v121_champion,test,False,#7fa8ff,18298,0.3937,1.9395,4.8547,0.1161,2.357,0.4918,0.0796,0.4453
V12.2_champion,v122_champion,val,False,#2ca02c,31368,0.3303,1.5625,3.6892,-0.0889,-1.88,0.4157,0.0396,0.3595
V12.2_champion,v122_champion,test,False,#2ca02c,18298,0.3931,1.9366,4.8593,0.1052,2.135,0.4914,0.0794,0.4435
V13_chronos (zs),v13_chronos,val,False,#888888,31188,0.6876,3.3569,8.2258,-1.5638,-32.031,1.0768,0.2617,0.9786
V13_chronos (zs),v13_chronos,test,False,#888888,20792,0.6304,3.0267,8.232,-1.251,-26.054,0.9503,0.2119,0.8666
V13.1_relaxed,v131_relaxed,val,False,#9467bd,30012,0.3326,1.6395,3.8546,-0.1907,-3.868,0.4149,0.0495,0.3767
V13.1_relaxed,v131_relaxed,test,False,#9467bd,17507,0.3907,2.0017,5.061,0.0026,0.05,0.4859,0.0825,0.4322
