,Agg_Bias_pct,Agg_Bias_pct,Monthly_WAPE,Monthly_WAPE,RMSE,RMSE,SIMSCORE,SIMSCORE,WAPE,WAPE
split,test,val,test,val,test,val,test,val,test,val
model,,,,,,,,,,
V11_LAD,4.856,0.216,0.0827,0.0359,4.812,3.6643,0.4662,0.3531,0.4006,0.334
V11_final,2.799,-1.452,0.0799,0.0384,4.8466,3.6831,0.4489,0.3575,0.395,0.3311
V12_LAD,4.483,-0.595,0.0801,0.0327,4.8316,3.6785,0.4607,0.3514,0.3983,0.3321
V12_final,4.483,-0.595,0.0801,0.0327,4.8316,3.6785,0.4607,0.3514,0.3983,0.3321
V12.1_LAD,3.856,-0.588,0.0812,0.0314,4.8429,3.6801,0.4568,0.3503,0.3969,0.3317
V12.1_final,3.377,-0.747,0.0829,0.0326,4.8707,3.7029,0.4556,0.3537,0.3973,0.3336
V12.1_meta,3.327,-1.02,0.0803,0.0341,4.8402,3.6775,0.4523,0.3532,0.3955,0.331
V12.1_champion,2.357,-1.737,0.0796,0.0392,4.8547,3.6868,0.4453,0.3588,0.3937,0.3305
