helper,lambda,OOF_recency,OOF_folds
v121_lad,0.0,0.4119,"[0.3133, 0.3925, 0.463]"
v121_lad,0.025,0.4116,"[0.313, 0.3921, 0.4627]"
v121_lad,0.05,0.4113,"[0.3128, 0.3917, 0.4624]"
v121_lad,0.075,0.411,"[0.3126, 0.3913, 0.4621]"
v121_lad,0.1,0.4107,"[0.3124, 0.3909, 0.4618]"
v121_lad,0.125,0.4103,"[0.3122, 0.3905, 0.4615]"
v121_lad,0.15,0.41,"[0.312, 0.3901, 0.4612]"
v121_lad,0.175,0.4097,"[0.3117, 0.3897, 0.4609]"
v121_lad,0.2,0.4094,"[0.3115, 0.3893, 0.4606]"
v121_lad,0.225,0.4091,"[0.3113, 0.3889, 0.4604]"
v121_lad,0.25,0.4089,"[0.3111, 0.3886, 0.4603]"
v121_lad,0.275,0.4088,"[0.3109, 0.3882, 0.4603]"
v121_lad,0.3,0.4086,"[0.3108, 0.3878, 0.4603]"
v121_lad,0.325,0.4085,"[0.3106, 0.3874, 0.4603]"
v121_lad,0.35,0.4084,"[0.3104, 0.3871, 0.4603]"
v121_lad,0.375,0.4082,"[0.3102, 0.3867, 0.4602]"
v121_lad,0.4,0.408,"[0.31, 0.3863, 0.4602]"
v121_lad,0.425,0.4079,"[0.3098, 0.386, 0.4602]"
v121_lad,0.45,0.4077,"[0.3097, 0.3856, 0.4602]"
v121_lad,0.475,0.4076,"[0.3095, 0.3853, 0.4602]"
v121_lad,0.5,0.4074,"[0.3093, 0.3849, 0.4602]"
v12_external,0.0,0.4119,"[0.3133, 0.3925, 0.463]"
v12_external,0.025,0.4116,"[0.3149, 0.3919, 0.462]"
v12_external,0.05,0.4113,"[0.3165, 0.3914, 0.4611]"
v12_external,0.075,0.4116,"[0.3181, 0.391, 0.4614]"
v12_external,0.1,0.412,"[0.3198, 0.3905, 0.4617]"
v12_external,0.125,0.4123,"[0.3215, 0.39, 0.4621]"
v12_external,0.15,0.4127,"[0.3233, 0.3896, 0.4624]"
v12_external,0.175,0.4132,"[0.325, 0.3892, 0.4628]"
v12_external,0.2,0.4136,"[0.3268, 0.3888, 0.4632]"
v12_external,0.225,0.4141,"[0.3286, 0.3884, 0.4637]"
v12_external,0.25,0.4146,"[0.3304, 0.388, 0.4642]"
v12_external,0.275,0.4151,"[0.3322, 0.3876, 0.4647]"
v12_external,0.3,0.4156,"[0.3341, 0.3873, 0.4652]"
v12_external,0.325,0.4161,"[0.3359, 0.387, 0.4657]"
v12_external,0.35,0.4167,"[0.3378, 0.3866, 0.4663]"
v12_external,0.375,0.4173,"[0.3397, 0.3863, 0.4669]"
v12_external,0.4,0.4179,"[0.3417, 0.386, 0.4675]"
v12_external,0.425,0.4185,"[0.3437, 0.3857, 0.4681]"
v12_external,0.45,0.4191,"[0.3457, 0.3855, 0.4687]"
v12_external,0.475,0.4198,"[0.3478, 0.3852, 0.4694]"
v12_external,0.5,0.4205,"[0.3499, 0.385, 0.47]"
