number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_num_leaves,params_reg_lambda,state
0,2254071.4016852016,2026-04-24 01:04:48.434696,2026-04-24 01:10:18.698766,0 days 00:05:30.264070,0.8154396405922331,3,0.7152672695400661,0.05465706557892777,26,65,0.18744296783727693,COMPLETE
1,2213644.9547377676,2026-04-24 01:10:18.700030,2026-04-24 01:11:04.213091,0 days 00:00:45.513061,0.866724164434542,10,0.8488153243276795,0.014488859277302995,16,218,0.002636875900384144,COMPLETE
2,2225439.542605133,2026-04-24 01:11:04.213337,2026-04-24 01:11:24.439996,0 days 00:00:20.226659,0.6806579731886079,8,0.9665854940524932,0.026281788692136168,49,41,1.5844865735146878,COMPLETE
3,2244294.2430208866,2026-04-24 01:11:24.440229,2026-04-24 01:12:32.886585,0 days 00:01:08.446356,0.9207389426609626,6,0.6879961444886149,0.05114655491305694,40,141,0.7534154729297091,COMPLETE
4,2284266.6922324463,2026-04-24 01:12:32.888207,2026-04-24 01:14:58.876146,0 days 00:02:25.987939,0.6556567330429194,5,0.8651893431313052,0.09457916712129888,84,226,6.427722447787912,COMPLETE
5,2190037.5681157717,2026-04-24 01:14:58.878364,2026-04-24 01:15:48.863111,0 days 00:00:49.984747,0.6085577573102262,1,0.7441953249033673,0.034445487758256885,16,36,0.009928372564120378,COMPLETE
6,2299425.4635581123,2026-04-24 01:15:48.882321,2026-04-24 01:16:57.500632,0 days 00:01:08.618311,0.8832996432494593,8,0.9264565485038041,0.043544927100410614,85,114,0.015909819369369124,COMPLETE
7,2273467.304431475,2026-04-24 01:16:57.501289,2026-04-24 01:17:26.722614,0 days 00:00:29.221325,0.8900549928888675,6,0.7090043593091245,0.046505572964050564,41,128,0.040097660996710804,COMPLETE
8,2252318.826749678,2026-04-24 01:17:26.723109,2026-04-24 01:17:55.665856,0 days 00:00:28.942747,0.9255821294993394,5,0.5449357390905052,0.07600286022767473,19,201,0.006138154488013132,COMPLETE
9,2233457.601038124,2026-04-24 01:17:55.666090,2026-04-24 01:18:37.576368,0 days 00:00:41.910278,0.8016614120539527,5,0.6051564737508042,0.03077564426523703,62,137,0.034837371640331224,COMPLETE
10,2166131.8232534104,2026-04-24 01:18:37.576969,2026-04-24 01:19:04.867622,0 days 00:00:27.290653,0.6111581205664803,1,0.8253483149303233,0.018226460111807858,66,86,0.0014717508825527188,COMPLETE
11,2196865.2753389464,2026-04-24 01:19:04.871694,2026-04-24 01:19:39.330510,0 days 00:00:34.458816,0.6163400955960079,1,0.797368413325883,0.017658826598627404,65,82,0.001258464960338146,COMPLETE
12,2202866.998206808,2026-04-24 01:19:39.330925,2026-04-24 01:20:42.762391,0 days 00:01:03.431466,0.7209654832047966,1,0.7805962813780447,0.021569842969611727,100,31,0.006746841784111344,COMPLETE
13,2137136.915418081,2026-04-24 01:20:42.762959,2026-04-24 01:21:43.867735,0 days 00:01:01.104776,0.6019181443757489,3,0.6522118062255,0.012021860176755196,73,87,0.0010931669362609874,COMPLETE
14,2096775.6359416267,2026-04-24 01:21:43.869001,2026-04-24 01:25:57.297282,0 days 00:04:13.428281,0.7358751779296059,3,0.6344361147571675,0.01005442119720846,75,94,0.0015546048788006187,COMPLETE
15,2118621.0736007616,2026-04-24 01:25:57.298340,2026-04-24 01:32:00.533809,0 days 00:06:03.235469,0.9953874767415984,3,0.6187403303346298,0.01028430222360164,78,169,0.0010309040661560754,COMPLETE
16,2117845.1163967904,2026-04-24 01:32:00.534345,2026-04-24 01:32:56.930497,0 days 00:00:56.396152,0.9884422447445401,3,0.5199363699817069,0.010350007637905397,81,174,0.18852415086162244,COMPLETE
17,2111953.1057369336,2026-04-24 01:32:56.931225,2026-04-24 01:33:44.229401,0 days 00:00:47.298176,0.7290041790690724,3,0.5306817530333352,0.010026742272812398,97,174,0.24019360128991699,COMPLETE
18,2166806.470386296,2026-04-24 01:33:44.230207,2026-04-24 01:34:28.852336,0 days 00:00:44.622129,0.7405671571556676,4,0.5695167260368867,0.013832021107092127,100,168,0.7565215242115061,COMPLETE
19,2187800.4713093694,2026-04-24 01:34:28.852609,2026-04-24 01:35:53.499576,0 days 00:01:24.646967,0.7484845072966514,2,0.5775901648494479,0.015688570967778388,91,255,0.07458418519916102,COMPLETE
20,2208255.696153896,2026-04-24 01:35:53.499831,2026-04-24 01:36:24.353128,0 days 00:00:30.853297,0.6947482621603785,4,0.6508207779184452,0.022225830364573713,90,110,0.24082431043067642,COMPLETE
21,2120231.503486801,2026-04-24 01:36:24.353729,2026-04-24 01:37:01.483013,0 days 00:00:37.129284,0.7687205293659392,2,0.5027244302585517,0.010637181403425068,78,172,0.2188004236030899,COMPLETE
22,2144985.3514884766,2026-04-24 01:37:01.483607,2026-04-24 01:37:36.960704,0 days 00:00:35.477097,0.838044287668927,4,0.5076879166165155,0.013221770021769878,93,187,0.5158082320512096,COMPLETE
23,2117241.8763744077,2026-04-24 01:37:36.961832,2026-04-24 01:38:12.321710,0 days 00:00:35.359878,0.9986374832725909,2,0.5449817823405214,0.010540956737746186,73,151,3.3394000928810095,COMPLETE
24,2134570.1386200385,2026-04-24 01:38:12.321994,2026-04-24 01:38:47.942305,0 days 00:00:35.620311,0.7699890572414122,2,0.5681762903684049,0.011829144637358215,71,118,5.912179430117043,COMPLETE
25,2176379.8848628365,2026-04-24 01:38:47.942609,2026-04-24 01:39:13.709232,0 days 00:00:25.766623,0.6593936530558853,2,0.6305169976505784,0.017035270916451142,58,99,3.33060258680725,COMPLETE
26,2131473.805192654,2026-04-24 01:39:13.710076,2026-04-24 01:39:52.240976,0 days 00:00:38.530900,0.7155055615132202,4,0.5497896706945938,0.01245161758377471,72,153,1.547521538962217,COMPLETE
27,2113786.247849973,2026-04-24 01:39:52.241228,2026-04-24 01:40:25.521585,0 days 00:00:33.280357,0.9614417522251012,2,0.6688656679419699,0.010097037759380577,52,148,2.4686939646658916,COMPLETE
28,2234017.1630394505,2026-04-24 01:40:25.521821,2026-04-24 01:41:03.943971,0 days 00:00:38.422150,0.7745851140060855,7,0.6663440777026444,0.020989617106883924,49,199,0.03174242035609528,COMPLETE
29,2147551.8016387024,2026-04-24 01:41:03.945926,2026-04-24 01:41:27.422432,0 days 00:00:23.476506,0.8315661893401485,3,0.7339389120024598,0.014652954363202136,33,61,0.1251907149177835,COMPLETE
