candidate,OOF_SIMSCORE_mean,OOF_f1,OOF_f2,OOF_f3,in_sample_SIMSCORE,overfit_gap
nnls_all,0.4671,0.431,0.4631,0.5071,0.4591,0.008
blend_v6_v72,0.4775,0.4484,0.4908,0.4933,0.4491,0.0284
scalar_v72_champion,0.4787,0.4313,0.5034,0.5013,0.4522,0.0265
monthly_v72_champion,0.4787,0.4313,0.5034,0.5013,0.4244,0.0543
monthly_v7,0.4794,0.4714,0.4853,0.4815,0.4251,0.0543
scalar_v6,0.4872,0.4655,0.4958,0.5003,0.4578,0.0294
monthly_v6,0.4872,0.4655,0.4958,0.5003,0.4275,0.0597
nnls_symmetric,0.4882,0.4564,0.4875,0.5206,0.476,0.0122
blend_v5_v72,0.4884,0.4765,0.4807,0.5079,0.4622,0.0262
bare_v5,0.4988,0.4765,0.4928,0.5272,0.4784,0.0204
bare_v6,0.531,0.4879,0.555,0.5501,0.5103,0.0207
bare_v72_champion,0.5334,0.5377,0.4753,0.5871,0.5293,0.0041
