Бренд,moy,n,y,p,ae,WAPE,bias_pct,err_share_pct
Cubic Fun,12,1624,19224.0,19931.012,7363.516,0.383,3.678,7.17
Djeco,12,2296,19143.0,21375.806,7293.717,0.381,11.664,7.102
Infantino,12,1278,14847.0,15188.044,4873.155,0.328,2.297,4.745
Djeco,11,2296,9682.0,8842.623,4449.48,0.46,-8.669,4.333
Djeco,10,2296,8891.0,8208.06,4142.731,0.466,-7.681,4.034
Djeco,7,2296,7689.0,7389.215,3997.455,0.52,-3.899,3.892
Cubic Fun,11,1624,8298.0,7414.989,3690.633,0.445,-10.641,3.594
Djeco,9,2296,6980.0,7477.92,3593.318,0.515,7.134,3.499
Djeco,8,2296,7274.0,7758.478,3372.114,0.464,6.66,3.284
Djeco,1,2296,7907.0,7913.073,3330.561,0.421,0.077,3.243
Cubic Fun,1,1624,8088.0,7694.094,3172.479,0.392,-4.87,3.089
Infantino,11,1278,9125.0,8685.155,3102.522,0.34,-4.82,3.021
Cubic Fun,10,1624,5896.0,6530.868,3000.107,0.509,10.768,2.921
Djeco,2,2296,5676.0,5107.401,2962.789,0.522,-10.018,2.885
Infantino,10,1278,8232.0,8061.973,2902.083,0.353,-2.065,2.826
Cubic Fun,9,1624,5310.0,5823.755,2875.068,0.541,9.675,2.8
Infantino,7,1278,8108.0,7465.348,2856.333,0.352,-7.926,2.781
Cubic Fun,8,1624,5458.0,5379.417,2708.117,0.496,-1.44,2.637
Cubic Fun,7,1624,5017.0,4892.187,2685.916,0.535,-2.488,2.615
Infantino,8,1278,8382.0,8148.856,2625.287,0.313,-2.781,2.556
Infantino,9,1278,7550.0,7639.158,2455.761,0.325,1.181,2.391
Infantino,2,1278,5940.0,5389.247,2436.613,0.41,-9.272,2.373
Infantino,1,1278,7634.0,7143.602,2391.484,0.313,-6.424,2.329
Cubic Fun,2,1624,5287.0,4646.433,2370.529,0.448,-12.116,2.308
Djeco,5,1148,3760.0,3155.278,1830.118,0.487,-16.083,1.782
Djeco,6,1148,3454.0,3206.301,1760.264,0.51,-7.171,1.714
Djeco,3,1148,4043.0,3511.358,1758.79,0.435,-13.15,1.713
Djeco,4,1148,3441.0,3217.27,1711.896,0.497,-6.502,1.667
Infantino,4,639,3351.0,3364.949,1546.858,0.462,0.416,1.506
Infantino,5,639,3906.0,3638.529,1408.538,0.361,-6.848,1.372
Cubic Fun,3,812,3083.0,2875.339,1294.577,0.42,-6.736,1.261
Infantino,3,639,3571.0,3118.351,1268.197,0.355,-12.676,1.235
Cubic Fun,4,812,1927.0,2205.363,1202.478,0.624,14.445,1.171
Infantino,6,639,3430.0,3561.721,1152.089,0.336,3.84,1.122
Cubic Fun,6,812,1949.0,2222.276,1012.511,0.52,14.021,0.986
Cubic Fun,5,812,1892.0,2086.808,993.531,0.525,10.296,0.967
unknown,12,44,577.0,484.462,239.213,0.415,-16.038,0.233
unknown,1,44,321.0,282.25,127.884,0.398,-12.072,0.125
unknown,7,44,236.0,173.633,124.916,0.529,-26.427,0.122
unknown,2,44,259.0,230.836,109.365,0.422,-10.874,0.106
unknown,11,44,236.0,219.298,107.71,0.456,-7.077,0.105
unknown,8,44,241.0,227.593,94.31,0.391,-5.563,0.092
unknown,10,44,225.0,208.381,81.289,0.361,-7.386,0.079
unknown,9,44,201.0,199.093,57.598,0.287,-0.949,0.056
unknown,3,22,107.0,91.36,48.89,0.457,-14.617,0.048
unknown,4,22,116.0,91.078,43.4,0.374,-21.484,0.042
unknown,6,22,53.0,76.933,36.814,0.695,45.157,0.036
unknown,5,22,85.0,107.238,33.855,0.398,26.162,0.033
