Канал,moy,n,y,p,ae,WAPE,bias_pct,err_share_pct
СК,12,2782,37208.0,39401.588,12654.641,0.34,5.895,12.322
СК,11,2782,19338.0,18028.676,7313.267,0.378,-6.771,7.121
СК,10,2782,16997.0,16842.198,6610.294,0.389,-0.911,6.437
СК,7,2782,14773.0,14692.639,5972.394,0.404,-0.544,5.816
СК,1,2782,17056.0,16045.21,5897.973,0.346,-5.926,5.743
СК,9,2782,14640.0,15241.22,5817.488,0.397,4.107,5.665
СК,8,2782,15285.0,15622.89,5620.39,0.368,2.211,5.473
СК,2,2782,12223.0,11102.501,5469.754,0.447,-9.167,5.326
СК,3,1391,7801.0,6803.421,2946.276,0.378,-12.788,2.869
СК,4,1391,7045.0,6590.104,2902.381,0.412,-6.457,2.826
СК,5,1391,7148.0,6747.902,2879.677,0.403,-5.597,2.804
НКП,12,856,7668.0,7997.36,2839.892,0.37,4.295,2.765
СК,6,1391,6377.0,6642.342,2561.523,0.402,4.161,2.494
РС,12,914,5710.0,5735.078,2234.061,0.391,0.439,2.175
ИМ,12,690,3205.0,3845.299,2041.008,0.637,19.978,1.987
РС,7,914,2713.0,1818.325,1585.734,0.584,-32.977,1.544
НКП,10,856,3174.0,3064.909,1513.175,0.477,-3.437,1.473
НКП,11,856,3563.0,3458.996,1489.918,0.418,-2.919,1.451
НКП,1,856,3453.0,3429.971,1391.496,0.403,-0.667,1.355
НКП,8,856,3029.0,2783.307,1334.99,0.441,-8.111,1.3
НКП,9,856,2522.0,2953.939,1301.645,0.516,17.127,1.267
РС,11,914,2820.0,2328.321,1284.06,0.455,-17.435,1.25
ИМ,11,690,1620.0,1346.072,1263.1,0.78,-16.909,1.23
НКП,7,856,2478.0,2437.471,1149.179,0.464,-1.636,1.119
РС,10,914,1992.0,2141.823,1131.963,0.568,7.521,1.102
РС,1,914,2518.0,2473.926,1095.297,0.435,-1.75,1.067
РС,8,914,2052.0,2145.867,1040.95,0.507,4.574,1.014
РС,9,914,1959.0,2018.921,1040.802,0.531,3.059,1.013
НКП,2,856,2391.0,2028.774,1037.543,0.434,-15.15,1.01
ИМ,7,690,1086.0,971.949,957.314,0.882,-10.502,0.932
ИМ,10,690,1081.0,960.352,870.777,0.806,-11.161,0.848
РС,2,914,1843.0,1708.743,852.178,0.462,-7.285,0.83
ИМ,9,690,920.0,925.846,821.809,0.893,0.635,0.8
ИМ,8,690,989.0,962.28,803.497,0.812,-2.702,0.782
РС,4,457,174.0,694.593,685.028,3.937,299.191,0.667
ИМ,1,690,923.0,1083.912,637.642,0.691,17.434,0.621
НКП,3,428,1573.0,1379.604,635.089,0.404,-12.295,0.618
НКП,5,428,1202.0,1146.295,571.456,0.475,-4.634,0.556
НКП,4,428,1171.0,1193.093,565.276,0.483,1.887,0.55
ИМ,2,690,705.0,533.898,519.82,0.737,-24.27,0.506
НКП,6,428,1118.0,1211.249,504.026,0.451,8.341,0.491
РС,6,457,863.0,781.809,487.185,0.565,-9.408,0.474
РС,3,457,998.0,956.743,476.702,0.478,-4.134,0.464
РС,5,457,759.0,698.923,429.697,0.566,-7.915,0.418
ИМ,6,345,528.0,431.831,408.943,0.775,-18.214,0.398
ИМ,5,345,534.0,394.733,385.213,0.721,-26.08,0.375
ИМ,4,345,445.0,400.872,351.946,0.791,-9.916,0.343
ИМ,3,345,432.0,456.64,312.387,0.723,5.704,0.304
