label,tag,WAPE,SIMSCORE,Agg_Bias_pct,Monthly_WAPE,RMSE,portfolio_wape
V4,v4,0.472,0.5634,-4.225,0.1406,4.7541,0.1246
V5,v5,0.4775,0.5641,0.807,0.1651,4.7367,0.1568
V6,v6,0.4494,0.5542,8.882,0.1209,4.7599,0.1186
V7,v7,0.4208,0.5329,-9.863,0.1256,5.032,0.1037
V7.1,v71_channels,0.4122,0.5367,-12.229,0.1267,5.0824,0.1268
V7.2,v72_champion,0.4086,0.5272,-11.494,0.1222,5.1005,0.1204
V7.3,v73,0.4362,0.5113,-3.174,0.1185,4.5337,0.1038
V7.4,v74,0.4332,0.5053,-2.559,0.1185,4.5358,0.1058
V7.5,v75,0.4255,0.4875,-1.542,0.1086,4.5399,0.0977
V7.7,v77,0.423,0.4827,-1.435,0.1049,4.482,0.0939
V7.8,v78,0.4246,0.4833,-1.027,0.1072,4.473,0.0965
